name,id,cmc,type,subtype,text,power,toughness
Goblin Gathering,178,3,Sorcery,None,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.,-999,-999
Roc of Kher Ridges,179,4,Creature,Bird,Flying,3,3
Comeuppance,180,4,Instant,None,"Prevent all damage that would be dealt to you and planeswalkers you control this turn by sources you don't control. If damage from a creature source is prevented this way, Comeuppance deals that much damage to that creature. If damage from a noncreature source is prevented this way, Comeuppance deals that much damage to the source's controller.",-999,-999
Sphinx's Insight,181,4,Instant,None,"Draw two cards. Addendum — If you cast this spell during your main phase, you gain 2 life.",-999,-999
Eye of the Storm,182,7,Enchantment,None,"Whenever a player casts an instant or sorcery card, exile it. Then that player copies each instant or sorcery card exiled with Eye of the Storm. For each copy, the player may cast the copy without paying its mana cost.",-999,-999
Angel // Demon,183,0,TokenCreature,Angel//TokenCreature,None,-999,-999
Lotus Vale,184,0,Land,None,"If Lotus Vale would enter the battlefield, sacrifice two untapped lands instead. If you do, put Lotus Vale onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add three mana of any one color.",-999,-999
Flooded Shoreline,185,2,Enchantment,None,"{U}{U}, Return two Islands you control to their owner's hand: Return target creature to its owner's hand.",-999,-999
Messenger Falcons,186,4,Creature,Bird,"Flying When Messenger Falcons enters the battlefield, draw a card.",2,2
Compulsory Rest,187,2,Enchantment,Aura,"Enchant creature Enchanted creature can't attack or block. Enchanted creature has ""{2}, Sacrifice this creature: You gain 2 life.""",-999,-999
Nim Lasher,188,3,Creature,Zombie,Nim Lasher gets +1/+0 for each artifact you control.,1,1
Albino Troll,189,2,Creature,Troll,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) {1}{G}: Regenerate Albino Troll.",3,3
Ponder,190,1,Sorcery,None,"Look at the top three cards of your library, then put them back in any order. You may shuffle your library. Draw a card.",-999,-999
Kadena's Silencer,191,2,Creature,NagaWizard,"When Kadena's Silencer is turned face up, counter all abilities your opponents control. Megamorph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",2,1
Surly Badgersaur,192,4,Creature,BadgerDinosaur,"Whenever you discard a creature card, put a +1/+1 counter on Surly Badgersaur. Whenever you discard a land card, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."") Whenever you discard a noncreature, nonland card, Surly Badgersaur fights up to one target creature you don't control.",3,3
Vraska's Scorn,193,4,Sorcery,None,"Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska, Scheming Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle it.",-999,-999
Gravetiller Wurm,194,6,Creature,Wurm,Trample Morbid — Gravetiller Wurm enters the battlefield with four +1/+1 counters on it if a creature died this turn.,4,4
Justiciar's Portal,195,2,Instant,None,"Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.",-999,-999
Sworn Defender,196,4,Creature,HumanKnight,"{1}: Sworn Defender's power becomes the toughness of target creature blocking or being blocked by Sworn Defender minus 1 until end of turn, and Sworn Defender's toughness becomes 1 plus the power of that creature until end of turn.",1,3
Spidery Grasp,197,3,Instant,None,Untap target creature. It gets +2/+4 and gains reach until end of turn. (It can block creatures with flying.),-999,-999
New Blood,198,4,Sorcery,None,"As an additional cost to cast this spell, tap an untapped Vampire you control. Gain control of target creature. Change the text of that creature by replacing all instances of one creature type with Vampire.",-999,-999
Drag Under,199,3,Sorcery,None,Return target creature to its owner's hand. Draw a card.,-999,-999
Saltcrusted Steppe,200,0,Land,None,"{T}: Add {C}. {1}, {T}: Put a storage counter on Saltcrusted Steppe. {1}, Remove X storage counters from Saltcrusted Steppe: Add X mana in any combination of {G} and/or {W}.",-999,-999
Tainted Isle,201,0,Land,None,{T}: Add {C}. {T}: Add {U} or {B}. Activate this ability only if you control a Swamp.,-999,-999
Seasoned Pyromancer,202,3,Creature,HumanShaman,"When Seasoned Pyromancer enters the battlefield, discard two cards, then draw two cards. For each nonland card discarded this way, create a 1/1 red Elemental creature token. {3}{R}{R}, Exile Seasoned Pyromancer from your graveyard: Create two 1/1 red Elemental creature tokens.",2,2
Ravenous Gigantotherium,203,7,Creature,Beast,"Devour 3 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with three times that many +1/+1 counters on it.) When Ravenous Gigantotherium enters the battlefield, it deals X damage divided as you choose among up to X target creatures, where X is its power. Each of those creatures deals damage equal to its power to Ravenous Gigantotherium.",3,3
Seek Bolas's Counsel,204,3,Sorcery,None,"Choose one at random— • You get an emblem with ""At the beginning of your upkeep, pay {U}{B}{R}. If you don't, you lose the game."" • Each player discards their hand. • Planeswalk to Pools of Becoming. (Once there, you can roll the planar die only if you're playing Planechase.) • For each opponent, exile cards from the top of their library until you exile a nonland card. You may cast those cards without paying their mana costs. • Destroy all creatures and non-Bolas planeswalkers. • You get an emblem with ""You can cast nonland cards from your sideboard.""",-999,-999
Recantation,205,5,Enchantment,None,"At the beginning of your upkeep, you may put a verse counter on Recantation. {U}, Sacrifice Recantation: Return up to X target permanents to their owners' hands, where X is the number of verse counters on Recantation.",-999,-999
Prismatic Circle,206,3,Enchantment,None,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) As Prismatic Circle enters the battlefield, choose a color. {1}: The next time a source of your choice of the chosen color would deal damage to you this turn, prevent that damage.",-999,-999
Supreme Verdict,207,4,Sorcery,None,This spell can't be countered. Destroy all creatures.,-999,-999
Granger Guildmage,208,1,Creature,HumanWizard,"{R}, {T}: Granger Guildmage deals 1 damage to any target and 1 damage to you. {W}, {T}: Target creature gains first strike until end of turn.",1,1
"Kopala, Warden of Waves",209,3,LegendaryCreature,MerfolkWizard,Spells your opponents cast that target a Merfolk you control cost {2} more to cast. Abilities your opponents activate that target a Merfolk you control cost {2} more to activate.,2,2
Flood of Recollection,210,2,Sorcery,None,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.,-999,-999
Excavating Anurid,211,5,Creature,FrogBeast,"When Excavating Anurid enters the battlefield, you may sacrifice a land. If you do, draw a card. Threshold — As long as seven or more cards are in your graveyard, Excavating Anurid gets +1/+1 and has vigilance.",4,4
"Ma Chao, Western Warrior",212,5,LegendaryCreature,HumanSoldierWarrior,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Whenever Ma Chao, Western Warrior attacks alone, it can't be blocked this combat.",3,3
Unnerving Assault,213,3,Instant,None,"Creatures your opponents control get -1/-0 until end of turn if {U} was spent to cast this spell, and creatures you control get +1/+0 until end of turn if {R} was spent to cast this spell. (Do both if {U}{R} was spent.)",-999,-999
Tundra,214,0,Land,PlainsIsland,({T}: Add {W} or {U}.),-999,-999
Titania,215,0,Vanguard,None,You may play an additional land on each of your turns.,-999,-999
Raving Oni-Slave,216,2,Creature,OgreWarrior,"When Raving Oni-Slave enters the battlefield or leaves the battlefield, you lose 3 life if you don't control a Demon.",3,3
Moss Diamond,217,2,Artifact,None,Moss Diamond enters the battlefield tapped. {T}: Add {G}.,-999,-999
Angel of Despair,218,7,Creature,Angel,"Flying When Angel of Despair enters the battlefield, destroy target permanent.",5,5
Armed Response,219,3,Instant,None,Armed Response deals damage to target attacking creature equal to the number of Equipment you control.,-999,-999
Fire Covenant,220,3,Instant,None,"As an additional cost to cast this spell, pay X life. Fire Covenant deals X damage divided as you choose among any number of target creatures.",-999,-999
"Winota, Joiner of Forces",221,4,LegendaryCreature,HumanWarrior,"Whenever a non-Human creature you control attacks, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.",4,4
Nomadic Elf,222,2,Creature,ElfNomad,{1}{G}: Add one mana of any color.,2,2
Spearbreaker Behemoth,223,7,Creature,Beast,Indestructible {1}: Target creature with power 5 or greater gains indestructible until end of turn.,5,5
Ensoul Artifact,224,2,Enchantment,Aura,Enchant artifact Enchanted artifact is a creature with base power and toughness 5/5 in addition to its other types.,-999,-999
Skred,225,1,Instant,None,Skred deals damage to target creature equal to the number of snow permanents you control.,-999,-999
Flycatcher Giraffid,226,5,Creature,AntelopeLizard,Flycatcher Giraffid enters the battlefield with your choice of a vigilance counter or a reach counter on it.,3,5
Blighted Woodland,227,0,Land,None,"{T}: Add {C}. {3}{G}, {T}, Sacrifice Blighted Woodland: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.",-999,-999
Mirrorweave,228,4,Instant,None,Each other creature becomes a copy of target nonlegendary creature until end of turn.,-999,-999
Cytoplast Manipulator,229,4,Creature,HumanWizardMutant,"Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.) {U}, {T}: Gain control of target creature with a +1/+1 counter on it for as long as Cytoplast Manipulator remains on the battlefield.",0,0
Fiery Islet,230,0,Land,None,"{T}, Pay 1 life: Add {U} or {R}. {1}, {T}, Sacrifice Fiery Islet: Draw a card.",-999,-999
Ulvenwald Captive // Ulvenwald Abomination,231,2,Creature,WerewolfHorror//Creature,None,-999,-999
Game Plan,232,6,Sorcery,None,"Assist (Another player can pay up to {5} of this spell's cost.) Each player shuffles their hand and graveyard into their library, then draws seven cards. Exile Game Plan.",-999,-999
Selesnya Sagittars,233,5,Creature,ElfArcher,Reach (This creature can block creatures with flying.) Selesnya Sagittars can block an additional creature each combat.,2,5
Sultai Emissary,234,2,Creature,ZombieWarrior,"When Sultai Emissary dies, manifest the top card of your library. (Put that card onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)",1,1
Chainbreaker,235,2,ArtifactCreature,Scarecrow,"Chainbreaker enters the battlefield with two -1/-1 counters on it. {3}, {T}: Remove a -1/-1 counter from target creature.",3,3
Sedge Sliver,236,3,Creature,Sliver,"All Sliver creatures have ""This creature gets +1/+1 as long as you control a Swamp."" All Slivers have ""{B}: Regenerate this permanent.""",2,2
Glacial Fortress,237,0,Land,None,Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.,-999,-999
Odunos River Trawler,238,3,Creature,Zombie,"When Odunos River Trawler enters the battlefield, return target enchantment creature card from your graveyard to your hand. {W}, Sacrifice Odunos River Trawler: Return target enchantment creature card from your graveyard to your hand.",2,2
